date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | abc
2012-01-11 | 0.5
2012-01-11 | 1001
2012-01-11 | 1000
2012-01-11 | -100
2023-12-31 | 999
2024-01-01 | 1000
2024-01-01 | 1000.5
2024-01-01 | -1000
2024-01-01 | 0
2024-01-01 | 500
2024-01-01 | 500.5
2024-01-01 | 999.9
2024-01-01 | 1000.01
2024-01-01 | 1000.001
2024-01-01 | 999.999
2024-01-01 | 1000.0001
2024-01-01 | 500.001
2024-01-01 | 1000.1
2024-01-01 | 1000.00001
2024-01-01 | 500.0001
2024-01-01 | 999.9999
2024-01-01 | 1000.000001
2024-01-01 | 500.00001
2024-01-01 | 999.99999
2024-01-01 | 0.0001
2024-01-01 | 0.001
2024-01-01 | 0.01
2024-01-01 | 0.1
2024-01-01 | 0.00001
2024-01-01 | 0.000001
2024-01-01 | 0.0000001
2024-01-01 | 0.00000001
2024-01-01 | 0.000000001
2024-01-01 | 0.0000000001
2024-01-01 | 0.00000000001
2024-01-01 | 0.000000000001
2024-01-01 | 0.0000000000001
2024-01-01 | 0.00000000000001
2024-01-01 | 0.000000000000001
2024-01-01 | 0.0000000000000001
2024-01-01 | 0.00000000000000001
2024-01-01 | 0.000000000000000001
2024-01-01 | 0.0000000000000000001
2024-01-01 | 0.00000000000000000001
2024-01-01 | 0.000000000000000000001
2024-01-01 | 0.0000000000000000000001
2024-01-01 | 0.00000000000000000000001
2024-01-01 | 0.000000000000000000000001
2024-01-01 | 0.0000000000000000000000001
2024-01-01 | 0.00000000000000000000000001
2024-01-01 | 0.000000000000000000000000001
2024-01-01 | 0.0000000000000000000000000001
2024-01-01 | 0.00000000000000000000000000001
